M,noise_percent,readout,ridge_solve_seconds,digit_cell_accuracy,coincidence_recall,coincidence_accuracy,coincidence_correlation,feedback_overlap_fraction,feedback_target_probability,feedback_top1_accuracy
1300,15.0,regression,0.08759689331054688,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987443,0.3200666666666667,0.0002936734512895169,0.0
1300,15.0,attention,0.08759689331054688,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1300,20.0,regression,0.08759689331054688,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987446,0.3204000000000001,0.0019378250074562381,0.01
1300,20.0,attention,0.08759689331054688,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1300,30.0,regression,0.08759689331054688,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987446,0.3212,0.0007846165130354745,0.0
1300,30.0,attention,0.08759689331054688,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1300,50.0,regression,0.08759689331054688,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987446,0.32226666666666665,0.0007930847933132067,0.0
1300,50.0,attention,0.08759689331054688,0.10876543209876545,0.3915123456790124,0.6846141975308642,0.07217628819665473,0.25193333333333323,0.0003253042083477803,0.0
1300,75.0,regression,0.08759689331054688,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987443,0.31939999999999996,0.0005412845122331301,0.0
1300,75.0,attention,0.08759689331054688,0.111358024691358,0.47774691358024673,0.6360154320987654,0.08324976457013046,0.2554,0.0011318666430372376,0.0
1300,100.0,regression,0.08759689331054688,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987446,0.32539999999999997,0.001218989112234532,0.0
1300,100.0,attention,0.08759689331054688,0.10876543209876541,0.6061419753086421,0.5654753086419754,0.1032054572311241,0.2739333333333333,0.0005925730593024986,0.0
1600,0.0,regression,0.3914468288421631,0.248641975308642,0.22398148148148148,0.8445771604938273,0.13772553985192565,0.24653333333333333,0.01337359088293091,0.03
1600,0.0,attention,0.3914468288421631,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1600,2.0,regression,0.3914468288421631,0.12185185185185173,0.6153086419753089,0.5976944444444444,0.13267721625536524,0.2812,0.0012776813201505416,0.0
1600,2.0,attention,0.3914468288421631,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1600,5.0,regression,0.3914468288421631,0.1113580246913578,0.9836419753086421,0.359515432098766,0.18766000445220993,0.3195333333333333,0.0006571286938208761,0.0
1600,5.0,attention,0.3914468288421631,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1600,10.0,regression,0.3914468288421631,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987449,0.32106666666666667,0.0014132620830371243,0.01
1600,10.0,attention,0.3914468288421631,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1600,15.0,regression,0.3914468288421631,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987446,0.32199999999999995,0.0007053094716762225,0.0
1600,15.0,attention,0.3914468288421631,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1600,20.0,regression,0.3914468288421631,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987446,0.31973333333333337,0.000801934022918349,0.0
1600,20.0,attention,0.3914468288421631,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1600,30.0,regression,0.3914468288421631,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987446,0.3221333333333333,0.0005444750114489477,0.0
1600,30.0,attention,0.3914468288421631,1.0,1.0,1.0,1.0,1.0,1.0,1.0
