sigma,true_class,overlap_W_IH_vs_target,overlap_W_IMG_self_consistency
0.4,2,0.68,0.49333333333333335
0.4,5,0.06,0.5333333333333333
0.4,5,0.22666666666666666,0.5266666666666666
0.4,9,0.36666666666666664,0.5266666666666666
0.4,9,0.28,0.5533333333333333
0.4,5,0.06666666666666667,0.58
0.4,8,0.05333333333333334,0.54
0.4,6,0.11333333333333333,0.5866666666666667
0.4,1,0.34,0.4866666666666667
0.4,1,0.23333333333333334,0.47333333333333333
0.4,5,0.18666666666666668,0.5
0.4,6,0.16,0.5066666666666667
0.4,5,0.8066666666666666,0.6066666666666667
0.4,6,0.8533333333333334,0.5466666666666666
0.4,6,0.02,0.5133333333333333
0.4,6,0.46,0.6133333333333333
0.4,2,0.32666666666666666,0.49333333333333335
0.4,5,0.29333333333333333,0.56
0.4,4,0.3,0.4533333333333333
0.4,9,0.24,0.5866666666666667
0.4,9,0.2733333333333333,0.6133333333333333
0.4,7,0.2,0.56
0.4,6,0.5066666666666667,0.58
0.4,7,0.1,0.4866666666666667
0.4,4,0.22,0.4866666666666667
0.4,3,0.29333333333333333,0.5333333333333333
0.4,2,0.4,0.44
0.4,9,0.26,0.5466666666666666
0.4,4,0.6866666666666666,0.6133333333333333
0.4,9,0.05333333333333334,0.5466666666666666
0.4,3,0.2733333333333333,0.5533333333333333
0.4,3,0.32,0.58
0.4,9,0.11333333333333333,0.52
0.4,9,0.21333333333333335,0.5333333333333333
0.4,8,0.013333333333333334,0.5333333333333333
0.4,9,0.12666666666666668,0.5266666666666666
0.4,6,0.006666666666666667,0.6133333333333333
0.4,2,0.16,0.58
0.4,1,0.19333333333333333,0.4533333333333333
0.4,2,0.9266666666666666,0.56
0.4,4,0.43333333333333335,0.4666666666666667
0.4,2,0.28,0.49333333333333335
0.4,7,0.16666666666666666,0.48
0.4,7,0.31333333333333335,0.4866666666666667
0.4,9,0.31333333333333335,0.5066666666666667
0.4,9,0.5533333333333333,0.5
0.4,8,0.02,0.6
0.4,2,0.37333333333333335,0.5733333333333334
0.4,2,0.04666666666666667,0.5733333333333334
0.4,4,0.3933333333333333,0.5866666666666667
