M,noise_percent,iterations,converged,initial_acc,final_acc
2000,60.0,6,True,0.13580246913580246,0.18518518518518517
2000,60.0,9,True,0.16049382716049382,0.1111111111111111
2000,60.0,7,True,0.1111111111111111,0.12345679012345678
2000,60.0,9,True,0.13580246913580246,0.09876543209876543
2000,60.0,18,True,0.07407407407407407,0.08641975308641975
2000,60.0,10,True,0.08641975308641975,0.1111111111111111
2000,60.0,15,True,0.13580246913580246,0.09876543209876543
2000,60.0,11,True,0.13580246913580246,0.13580246913580246
2000,60.0,6,True,0.1111111111111111,0.08641975308641975
2000,60.0,10,True,0.13580246913580246,0.16049382716049382
2000,60.0,17,True,0.14814814814814814,0.04938271604938271
